arm,kind,reference,hypothesis,count
A,substitution,אני,ואני,1328
A,substitution,הכול,הכל,761
A,substitution,זו,זה,643
A,substitution,לכן,ולכן,601
A,substitution,היושב,יושב,528
A,substitution,כאן,פה,495
A,substitution,הזאת,הזו,424
A,substitution,ואני,אני,410
A,substitution,כול,כל,373
A,substitution,000,אלף,359
A,substitution,זה,וזה,339
A,substitution,ולא,לא,339
A,substitution,זאת,זה,326
A,substitution,שלא,לא,323
A,substitution,אנחנו,ואנחנו,294
A,insertion,,אני,8750
A,insertion,,לא,7742
A,insertion,,זה,7058
A,insertion,,את,4742
A,insertion,,תודה,4053
A,insertion,,אז,3964
A,insertion,,אבל,2866
A,insertion,,מה,2850
A,insertion,,גם,2727
A,insertion,,כן,2705
A,insertion,,אנחנו,2293
A,insertion,,על,2108
A,insertion,,של,1993
A,insertion,,הוא,1804
A,insertion,,באמת,1751
A,deletion,את,,2143
A,deletion,זה,,2087
A,deletion,לא,,1714
A,deletion,אני,,1678
A,deletion,על,,916
A,deletion,אבל,,769
A,deletion,הוא,,748
A,deletion,גם,,651
A,deletion,ראש,,632
A,deletion,היא,,606
A,deletion,של,,605
A,deletion,אז,,556
A,deletion,אנחנו,,554
A,deletion,מה,,551
A,deletion,ל,,487
B,substitution,אני,ואני,1468
B,substitution,לכן,ולכן,654
B,substitution,הכול,הכל,592
B,substitution,כאן,פה,525
B,substitution,זו,זה,451
B,substitution,הזאת,הזו,420
B,substitution,ואני,אני,384
B,substitution,זה,וזה,377
B,substitution,כול,כל,373
B,substitution,אנחנו,ואנחנו,337
B,substitution,הראש,ראש,331
B,substitution,ולא,לא,330
B,substitution,שלא,לא,299
B,substitution,הוא,זה,285
B,substitution,הזו,הזאת,276
B,insertion,,אני,9570
B,insertion,,לא,8325
B,insertion,,זה,7518
B,insertion,,את,4715
B,insertion,,אז,4630
B,insertion,,כן,3498
B,insertion,,אבל,3314
B,insertion,,גם,3170
B,insertion,,מה,2968
B,insertion,,אנחנו,2636
B,insertion,,על,2101
B,insertion,,של,2016
B,insertion,,באמת,1946
B,insertion,,הוא,1923
B,insertion,,יש,1877
B,deletion,זה,,1403
B,deletion,את,,1187
B,deletion,אני,,1169
B,deletion,לא,,1110
B,deletion,אבל,,604
B,deletion,על,,587
B,deletion,גם,,569
B,deletion,הוא,,529
B,deletion,היא,,465
B,deletion,אז,,431
B,deletion,של,,400
B,deletion,אנחנו,,395
B,deletion,הם,,354
B,deletion,מה,,347
B,deletion,יש,,334
