speaker_id,profile,speaker_name,gender,origin,orientation,rate_band,age,wer_A,wer_B,gain_rel,train_side_gain_rel,gain_ci,qc_footprint,hours_corpus,corpus_sessions,plenum_exposure_h,personal_test_h,hours_needed,enough_audio,why,personal_test_h_recommended
30808,S1,אפרת רייטן,Female,Israel,Secular,fast speech,51,0.3336,0.2829,0.152,0.1243,0.036-0.064,0.1101,35.64,326,3.248,0.2362,2.33,True,lowest gain in the pool with 36 h of clean-label audio; the fine-tune did little for her,0.75
30685,S1,אורית פרקש הכהן,Female,Israel,Unrecorded,medium speech,53,0.3954,0.3437,0.1308,0.1194,0.038-0.066,0.1122,22.93,327,3.374,0.1619,2.33,True,"lowest relative gain among clean-label speakers (13%), 23 h, low plenum exposure",0.75
30701,S1,אופיר כץ,Male,Israel,Secular,fast speech,43,0.4328,0.3449,0.2032,0.1943,0.073-0.103,0.1039,27.97,507,3.821,0.1859,2.33,True,"hard for both arms (B 0.35) and little helped, 28 h over 507 sessions",0.75
30843,S2,יאסר חוג'יראת,Male,Israel,Unrecorded,slow speech,59,0.4644,0.3611,0.2224,0.2074,0.087-0.120,0.09129,7.245,110,1.12,0.2015,2.33,True,hard (B 0.36) with a normal gain; Arab speaker with almost no plenum exposure (1 h),0.75
23558,S2,דוד ביטן,Male,MENA,Secular,medium speech,64,0.5244,0.3899,0.2564,0.2612,0.112-0.155,0.1484,123.9,685,4.531,0.2779,2.33,True,"the hardest well-documented speaker: B 0.39, 124 h of corpus audio, MENA-born; footprint 0.15 -> audio gate first",0.75
30813,S3,אבתיסאם מראענה,Female,Israel,Unrecorded,slow speech,46,0.3394,0.2868,0.1548,0.1611,0.040-0.063,0.05039,13.11,63,0.7676,0.154,2.33,True,"typical WER, low gain, the cleanest labels in the pool (footprint 0.05), lowest plenum exposure (0.8 h); Arab woman",0.75
30718,S3,עידית סילמן,Female,Israel,Religious,fast speech,41,0.3268,0.2749,0.159,0.1623,0.042-0.062,0.06716,22.62,104,1.421,0.1345,2.33,True,"typical WER, low gain (16%), clean labels, 23 h; religious, fast speech",0.75
30868,S3,יונתן מישרקי,Male,Israel,Haredi,fast speech,40,0.3873,0.3064,0.2088,0.1713,0.064-0.099,0.09735,29.72,273,1.294,0.3062,2.33,True,"the Haredi representative with clean labels: the orientation the models find hardest, 30 h, 1.3 h plenum exposure",0.75
30859,S4,צביקה פוגל,Male,Israel,Unrecorded,medium speech,68,0.2949,0.2182,0.2601,0.2692,0.064-0.089,0.05674,59.91,335,0.6825,0.3136,2.33,True,headroom check: B 0.22 with 60 h of audio and 0.7 h plenum exposure; a low-WER speaker needs the largest personal-test,0.75
30752,C,וליד טאהא,Male,Israel,Unrecorded,slow speech,53,0.3625,0.2276,0.372,0.3875,0.116-0.153,0.05415,25.73,209,3.92,0.6595,2.33,True,"control: the fine-tune already served him (37% gain), clean labels, 26 h; Arab speaker where B closed the gap",0.75
30777,C,משה טור פז,Male,Americas,Religious,fast speech,52,0.2839,0.1985,0.3009,0.3347,0.074-0.095,0.06996,23.67,397,3.799,0.2703,2.33,True,"control: 30% gain, low WER, fast speech, born in the Americas; a different profile from the other control",0.75
30807,S4 alt,גלעד קריב,Male,Israel,Religious,slow speech,50,0.3136,0.2397,0.2355,0.2532,0.061-0.088,0.07623,195.7,781,8.378,0.2972,2.33,True,"196 h of audio, B 0.24; the largest speaker in the corpus, if the headroom check wants more test audio",0.75
30695,S3 alt,יואב סגלוביץ',Male,Israel,Secular,fast speech,64,0.3967,0.32,0.1934,0.1957,0.064-0.090,0.09408,25.9,395,8.937,0.1677,2.33,True,"typical WER, low gain, clean labels, 26 h",0.75
556,S2 alt,חיים כץ,Male,Europe,Secular,slow speech,73,0.4883,0.3761,0.2298,0.2267,0.092-0.132,0.08309,10.39,73,15.31,0.2678,2.33,True,"hard, older, Europe-born, slow; 15 h of plenum exposure is the reason he is an alternate",0.75
